Date,Open,High,Low,Close,Adj Close,Volume
2017-01-13,160400,161000,157400,158000,156279.5313,341155
2017-01-16,158400,160200,154800,158800,157070.8125,275210
2017-01-17,157400,159400,156400,159000,157268.625,254710
2017-01-18,160000,160000,157400,157600,155883.875,275880
2017-01-19,157400,161200,157400,160200,158455.5625,339055
2017-01-20,159400,159600,157000,157000,155290.4063,367175
2017-01-23,155600,155800,152600,154200,152520.8906,453340
2017-01-24,154200,154200,152000,152200,150542.6719,534400
2017-01-25,152600,153600,152000,152600,150938.3281,595025
2017-01-26,150200,152600,147200,150600,148960.0938,1372095
2017-01-31,150000,153400,148600,151600,149949.2188,638050
2017-02-01,152200,154800,152000,154200,152520.8906,462705
2017-02-02,155200,156000,154000,154400,152718.7344,605250
2017-02-03,154000,155200,153400,154800,153114.375,712070
2017-02-06,156200,156200,154400,155800,154103.4688,635145
2017-02-07,155600,160400,155000,160000,158257.75,675555
2017-02-08,159800,159800,158200,159000,157268.625,388215
2017-02-09,157600,159200,156600,157400,155686.0469,510115
2017-02-10,159000,159000,157400,159000,157268.625,337445
2017-02-13,160000,160600,157600,159000,157268.625,296900
2017-02-14,157000,158000,153200,154000,152323.0781,599535
2017-02-15,153800,155400,153600,154600,152916.5469,332175
2017-02-16,154000,155400,153800,155400,153707.8281,369105
2017-02-17,154600,157000,154400,156000,154301.2969,521705
2017-02-20,154600,156800,154400,156200,154499.125,375210
2017-02-21,155600,158600,155200,158000,156279.5313,577870
2017-02-22,157600,160000,157200,159400,157664.2656,536860
2017-02-23,161000,163000,160800,161600,159840.3281,484775
2017-02-24,160600,161400,158600,160600,158851.2031,385865
2017-02-27,160000,161400,158400,159200,157466.4531,169475
2017-02-28,158800,160000,155200,155200,153510.0156,486990
2017-03-02,159800,163800,158000,163000,161225.0625,754810
2017-03-03,163200,167800,158800,161800,160038.1406,491510
2017-03-06,162000,163400,159000,160000,158257.75,289975
2017-03-07,160000,161200,158800,159800,158059.9219,241580
2017-03-08,159600,161400,158200,160000,158257.75,281890
2017-03-09,160200,161200,157800,157800,156081.6875,378925
2017-03-10,157800,160400,156600,160000,158257.75,244535
2017-03-13,160000,166600,159800,165200,163401.125,417320
2017-03-14,165400,166600,162200,163000,161225.0625,472435
2017-03-15,163400,165200,162000,164000,162214.1875,203935
2017-03-16,166800,167000,163400,163800,162016.3594,266575
2017-03-17,165000,166600,163800,165400,163598.9375,295345
2017-03-20,166000,166000,162000,163600,161818.5469,296465
2017-03-21,165600,174400,165000,174200,172303.125,750975
2017-03-22,174000,174200,169200,169800,167951.0313,396060
2017-03-23,172000,174400,170200,172800,170918.3594,400310
2017-03-24,172800,176000,172800,174400,172500.9375,278930
2017-03-27,173000,178400,173000,177000,175072.625,302295
2017-03-28,177000,177200,170200,170600,168742.3281,412375
2017-03-29,171800,173000,170800,172800,170918.3594,293580
2017-03-30,173000,174800,171200,172200,170324.9063,285375
2017-03-31,172200,174000,170800,171000,169137.9688,250130
2017-04-03,171000,175600,168600,174600,172698.7656,274420
2017-04-04,173600,173800,169200,170000,168148.8438,297970
2017-04-05,171400,171800,167000,168600,166764.1094,498370
2017-04-06,167600,168000,165200,168000,166170.625,360515
2017-04-07,167400,168400,165000,165600,163796.7656,288355
2017-04-10,164600,165600,162200,163600,161818.5469,357030
2017-04-11,162000,162200,153400,154000,152323.0781,1315330
2017-04-12,154600,155400,151400,153600,151927.4375,1027245
2017-04-13,154600,160600,154000,160400,158653.3906,865200
2017-04-14,159600,162200,157200,157400,155686.0469,298945
2017-04-17,156000,158600,154600,157000,155290.4063,277915
2017-04-18,158200,158200,155400,155600,153905.6563,271110
2017-04-19,155600,157000,155400,155400,153707.8281,414170
2017-04-20,157000,160000,156200,159200,157466.4531,491485
2017-04-21,160200,162600,159200,162600,160829.4219,429565
2017-04-24,162200,162600,161000,162000,160235.9688,434330
2017-04-25,163000,163000,160600,163000,161225.0625,756755
2017-04-26,163000,163200,160800,161400,159642.5,805525
2017-04-27,159200,160000,157000,158200,156477.3438,845670
2017-04-28,158200,160600,158200,160000,158257.75,562865
2017-05-02,160000,161400,158000,160200,158455.5625,543710
2017-05-04,161200,164600,160600,164600,162807.6406,440910
2017-05-08,164600,169000,163000,169000,167159.75,669455
2017-05-10,171800,175600,164600,164800,163005.4844,705380
2017-05-11,168200,173200,167400,173200,171314,874490
2017-05-12,172800,173000,168400,169600,167753.2031,382985
2017-05-15,170600,170800,166800,167800,165972.8125,237630
2017-05-16,167800,170000,166000,167800,165972.8125,274785
2017-05-17,167000,167600,165800,166400,164588.0469,366720
2017-05-18,165800,166400,163400,164800,163005.4844,294995
2017-05-19,164400,166600,164400,166400,164588.0469,625785
2017-05-22,169600,169600,166800,169400,167555.3906,350695
2017-05-23,169200,170000,167600,168400,166566.2813,372980
2017-05-24,170000,171000,168400,170400,168544.5,458045
2017-05-25,171000,171600,169600,170400,168544.5,334035
2017-05-26,172000,172600,170800,171000,169137.9688,308290
2017-05-29,172000,172800,170400,171200,169335.7813,227025
2017-05-30,171200,171800,169000,170400,168544.5,335805
2017-05-31,169800,172800,168600,169000,167159.75,477640
2017-06-01,170000,172000,168400,168400,166566.2813,275535
2017-06-02,168600,172800,168600,172800,170918.3594,343200
2017-06-05,170800,177400,170800,175200,173292.2188,521740
2017-06-07,175200,177600,174200,175200,173292.2188,420540
2017-06-08,177000,178600,175400,178000,176061.7344,525280
2017-06-09,179000,195000,178800,192000,189909.2969,917310
2017-06-12,185200,186600,179000,179000,177050.8594,991915
2017-06-13,179000,183800,178200,179000,177050.8594,563110
2017-06-14,179600,182800,175000,176600,174676.9844,665990
2017-06-15,176000,179200,175800,177000,175072.625,384370
2017-06-16,177800,178400,174600,178400,176457.375,483825
2017-06-19,177400,179600,175200,175600,173687.875,317660
2017-06-20,178400,178600,172800,173200,171314,419665
2017-06-21,171400,176200,166400,176000,174083.5156,488765
2017-06-22,175600,177600,174200,176000,174083.5156,296625
2017-06-23,176800,179200,175000,177400,175468.2813,308105
2017-06-26,178200,180600,176200,177600,175666.0938,294740
2017-06-27,178000,180400,173200,173800,171907.4844,3431730
2017-06-28,171600,173000,170200,172200,170324.9063,506555
2017-06-29,172800,173600,170200,170600,168742.3281,360930
2017-06-30,169000,170000,167000,167600,165774.9844,559895
2017-07-03,168800,170000,166600,168800,166961.9219,320725
2017-07-04,168000,169400,167400,168000,166170.625,224630
2017-07-05,167400,168000,166200,167000,165181.5313,325600
2017-07-06,166800,167000,163600,165000,163203.2969,541180
2017-07-07,165000,168200,164400,167600,165774.9844,465745
2017-07-10,165800,166800,162600,162600,160829.4219,471615
2017-07-11,162600,167000,162600,166000,164192.4063,413570
2017-07-12,166200,167800,163000,164200,162412,354560
2017-07-13,163400,167400,163400,166000,164192.4063,459420
2017-07-14,165800,167800,165200,167800,165972.8125,493310
2017-07-17,168000,168800,167000,167800,165972.8125,424760
2017-07-18,168200,168800,165200,166000,164192.4063,316460
2017-07-19,166200,168400,166000,167000,165181.5313,347190
2017-07-20,166600,168400,165400,167000,165181.5313,318190
2017-07-21,166400,168000,166400,167800,165972.8125,303995
2017-07-24,167400,167600,164200,166600,164785.8906,342805
2017-07-25,166800,167600,164800,167400,165577.1719,329950
2017-07-26,168000,168200,163800,165000,163203.2969,411715
2017-07-27,164000,165800,163800,165000,163203.2969,352395
2017-07-28,164200,164800,159800,159800,158059.9219,629375
2017-07-31,159800,161600,157200,160600,158851.2031,438425
2017-08-01,158800,160400,158000,159200,157466.4531,414640
2017-08-02,158400,160000,158200,159000,157268.625,418455
2017-08-03,158800,159600,155000,155600,153905.6563,674650
2017-08-04,155800,157000,155200,155200,153510.0156,336765
2017-08-07,155400,160600,153600,159200,157466.4531,744615
2017-08-08,160200,163200,160000,162000,160235.9688,520245
2017-08-09,159600,161400,159400,159600,157862.1094,259865
2017-08-10,158800,160400,158200,158800,157070.8125,367510
2017-08-11,156200,159600,156000,159000,157268.625,269710
2017-08-14,161400,161400,155200,155800,154103.4688,396985
2017-08-16,156000,158000,155800,157400,155686.0469,349085
2017-08-17,156200,157200,155200,155400,153707.8281,367040
2017-08-18,154600,157000,154600,156800,155092.5938,263105
2017-08-21,156800,157000,155000,156200,154499.125,202420
2017-08-22,156200,156200,152600,153400,151729.6094,1149490
2017-08-23,154400,156200,154000,154600,152916.5469,485075
2017-08-24,154000,154800,153200,154200,152520.8906,584980
2017-08-25,154200,157400,154200,156000,154301.2969,413035
2017-08-28,156200,158600,155800,156600,154894.7656,545185
2017-08-29,155800,156000,153400,155600,153905.6563,528455
2017-08-30,155600,156600,154200,154800,153114.375,564995
2017-08-31,153800,154000,150200,151000,149355.75,991250
2017-09-01,151400,152200,149000,149200,147575.3594,732700
2017-09-04,144800,146800,144800,145200,143618.9063,702385
2017-09-05,145600,148400,145400,147200,145597.125,487885
2017-09-06,145800,147800,145000,147400,145794.9531,401195
2017-09-07,147200,147400,146000,146000,144410.2031,340875
2017-09-08,145000,146600,144800,145400,143816.7188,354400
2017-09-11,145400,145400,143400,144000,142431.9688,377585
2017-09-12,144600,148400,143600,147000,145399.2969,415155
2017-09-13,146600,147000,145000,145800,144212.375,371380
2017-09-14,146000,153800,145800,153000,151333.9688,1132945
2017-09-15,152800,152800,150400,152000,150344.8594,496310
2017-09-18,152400,157200,152200,156200,154499.125,614480
2017-09-19,155000,155400,152800,154000,152323.0781,369870
2017-09-20,154800,157400,153400,156600,154894.7656,431835
2017-09-21,155400,156200,152000,152600,150938.3281,338785
2017-09-25,152000,152600,149800,150800,149157.9219,369320
2017-09-26,150800,150800,150800,150800,149157.9219,0
2017-09-27,150000,150400,146800,146800,145201.4844,460270
2017-09-28,146000,149000,146000,146600,145003.6563,543805
2017-09-29,146600,149800,146600,149000,147377.5156,263995
2017-10-10,149400,154000,148800,151200,149553.5781,822795
2017-10-11,150200,151000,149200,150200,148564.4531,296145
2017-10-12,150200,154400,150200,153600,151927.4375,572635
2017-10-13,153600,153600,151600,152400,150740.5,365215
2017-10-16,152800,153400,151800,152400,150740.5,326530
2017-10-17,153400,154400,152800,153600,151927.4375,464470
2017-10-18,153600,163400,153600,163000,161225.0625,1098155
2017-10-19,163600,165200,161000,162200,160433.7813,896165
2017-10-20,163600,164600,158400,160200,158455.5625,515455
2017-10-23,161200,162400,158600,159800,158059.9219,324350
2017-10-24,159400,162000,159000,160200,158455.5625,277285
2017-10-25,160000,162200,159000,160800,159049.0313,466290
2017-10-26,168800,170800,166000,168000,166170.625,1711705
2017-10-27,172000,175800,172000,175800,173885.7031,1183225
2017-10-30,177400,179800,174000,175200,173292.2188,528590
2017-10-31,175000,179200,173600,178800,176853.0313,655095
2017-11-01,174000,175800,170600,172000,170127.0781,1160390
2017-11-02,172000,174600,171000,171200,169335.7813,352770
2017-11-03,170400,173600,170000,172600,170720.5469,314870
2017-11-06,172000,174800,171000,172200,170324.9063,322075
2017-11-07,174400,174400,170000,172000,170127.0781,422140
2017-11-08,170800,171200,168400,169800,167951.0313,513455
2017-11-09,168600,168800,164800,165000,163203.2969,883010
2017-11-10,164400,166000,161400,162800,161027.25,786245
2017-11-13,162200,164800,161400,163800,162016.3594,470865
2017-11-14,164400,164400,160400,161000,159246.8438,592160
2017-11-15,161000,161600,158400,161000,159246.8438,455915
2017-11-17,161400,164400,160400,161000,159246.8438,726375
2017-11-20,161600,161800,159200,160200,158455.5625,429465
2017-11-21,160400,162000,159600,161600,159840.3281,398410
2017-11-22,162800,163000,159600,160200,158455.5625,477160
2017-11-24,160000,162400,159400,162000,160235.9688,341275
2017-11-27,161600,161800,157600,159000,157268.625,586930
2017-11-28,159800,162200,159200,161400,159642.5,476860
2017-11-29,161000,162800,160400,162400,160631.6094,459090
2017-11-30,162200,162200,160000,160000,158257.75,786660
2017-12-01,161800,166600,160200,166200,164390.2344,766425
2017-12-04,167400,169600,165600,167800,165972.8125,680135
2017-12-05,168000,168600,166200,166600,164785.8906,320020
2017-12-06,166600,166800,164800,165200,163401.125,345995
2017-12-07,166800,169600,165800,167400,165577.1719,775000
2017-12-08,167000,167600,164200,166000,164192.4063,294465
2017-12-11,166000,167000,164000,165200,163401.125,288000
2017-12-12,164400,169000,164400,165600,163796.7656,365095
2017-12-13,165800,168400,164800,168200,166368.4531,358000
2017-12-14,168400,169800,167000,167000,165181.5313,715485
2017-12-15,168200,168800,167400,168800,166961.9219,455680
2017-12-18,168800,173000,168000,172000,170127.0781,590485
2017-12-19,172600,174000,170000,171000,169137.9688,398335
2017-12-21,169800,170600,166800,168400,166566.2813,413485
2017-12-22,170000,172800,168600,172400,170522.7188,437290
2017-12-26,173000,176000,171800,174800,172896.5781,519025
2017-12-27,174400,175600,173200,175400,174937.1875,286780
2017-12-28,176000,176200,172000,174000,173540.875,326850
2018-01-03,175200,176800,172800,174200,173740.3438,423950
2018-01-04,175800,179400,174600,178600,178128.7344,650560
2018-01-05,178600,183600,176000,181600,181120.8281,684055
2018-01-08,183000,190600,181600,190000,189498.6563,981690
2018-01-09,188800,190400,186600,188800,188301.8281,390135
2018-01-10,188600,195000,185400,185600,185110.2656,600485
2018-01-11,185600,186800,181800,183400,182916.0781,469270
2018-01-12,184000,186000,180200,181800,181320.2969,447070
2018-01-15,183400,185000,182200,184200,183713.9688,296000
2018-01-16,183800,184800,178600,180600,180123.4688,476510
2018-01-17,180600,181200,177600,177600,177131.375,535130
2018-01-18,178600,181200,178600,180600,180123.4688,451540
2018-01-19,181000,181400,176000,176200,175735.0781,502825
2018-01-22,176800,178600,176400,178600,178128.7344,377715
2018-01-23,179800,179800,176800,177800,177330.8438,402375
2018-01-24,177800,177800,174000,175600,175136.6563,590605
2018-01-25,175600,184400,173400,182600,182118.1875,845950
2018-01-26,182600,185800,182000,185400,184910.7969,556845
2018-01-29,184600,189600,184400,186400,185908.1563,514580
2018-01-30,185600,190000,184600,186200,185708.6875,510590
2018-01-31,186600,189000,182000,182000,181519.7656,625920
2018-02-01,182000,186400,181800,184600,184112.9063,403035
2018-02-02,186000,186400,180400,181000,180522.4063,410755
2018-02-05,181000,181000,175400,175800,175336.125,484835
2018-02-06,172800,175600,167600,170200,169750.9063,772695
2018-02-07,174000,174400,168000,168600,168155.125,478815
2018-02-08,172000,172000,168400,168600,168155.125,514750
2018-02-09,163400,166000,161200,161600,161173.5938,790350
2018-02-12,163400,163400,159600,160000,159577.8125,953715
2018-02-13,162600,164400,160600,161000,160575.1719,685125
2018-02-14,162400,163800,161600,162200,161772.0156,370820
2018-02-19,166000,166000,163000,164000,163567.2656,416685
2018-02-20,163600,163600,160800,161400,160974.125,336005
2018-02-21,162000,167200,161800,166600,166160.4063,707840
2018-02-22,166200,167400,163800,165400,164963.5625,361210
2018-02-23,166200,168400,164000,165800,165362.5156,354320
2018-02-26,166800,166800,161600,162000,161572.5469,635640
2018-02-27,162000,162600,160200,160800,160375.7031,714890
2018-02-28,161600,163600,160400,160600,160176.2344,1951325
2018-03-02,158800,160000,154400,157200,156785.2031,1086525
2018-03-05,157200,158000,155800,155800,155388.9063,395610
2018-03-06,157200,160000,156400,159200,158779.9219,390060
2018-03-07,160800,161000,158200,159000,158580.4531,360550
2018-03-08,159600,159800,158200,159800,159378.3438,396090
2018-03-09,160600,162800,159400,160400,159976.7656,429025
2018-03-12,161600,163000,160800,161200,160774.6563,345055
2018-03-13,161200,165200,160600,164000,163567.2656,606115
2018-03-14,162600,162800,160200,161800,161373.0625,376640
2018-03-15,162600,164800,161400,164000,163567.2656,341525
2018-03-16,163200,163400,159400,160200,159777.2969,717990
2018-03-19,160200,160400,156400,157000,156585.7344,600070
2018-03-20,155400,159200,154800,159000,158580.4531,441955
2018-03-21,159000,159600,158400,158800,158380.9844,424565
2018-03-22,159800,161000,159600,160600,160176.2344,336730
2018-03-23,157600,158400,156000,156600,156186.7969,489340
2018-03-26,155600,158000,155400,157800,157383.625,276195
2018-03-27,160000,160000,157200,157800,157383.625,283160
2018-03-28,157400,158600,155400,156800,156386.2656,262300
2018-03-29,156800,158000,155600,157200,156785.2031,337800
2018-03-30,158800,159800,157200,158400,157982.0469,288805
2018-04-02,156600,158400,156400,157000,156585.7344,398100
2018-04-03,159600,159800,156000,157000,156585.7344,341015
2018-04-04,156400,157200,149400,150800,150402.0938,829645
2018-04-05,152800,155800,152400,155800,155388.9063,472310
2018-04-06,155200,156400,153200,154000,153593.6563,384070
2018-04-09,153800,154800,152800,154800,154391.5313,290395
2018-04-10,154200,156600,153800,155000,154591.0156,395640
2018-04-11,154400,156200,153800,154200,153793.125,308250
2018-04-12,153800,154200,151000,151400,151000.5156,559025
2018-04-13,151600,153200,150600,152800,152396.8125,341355
2018-04-16,153000,153000,150000,150200,149803.6719,392100
2018-04-17,150800,151600,149000,149600,149205.2656,442125
2018-04-18,150200,151600,150000,150400,150003.1563,416345
2018-04-19,148400,149600,146800,147600,147210.5313,622595
2018-04-20,147600,149000,145200,145600,145215.8125,479485
2018-04-23,145400,147600,145400,147000,146612.125,312160
2018-04-24,147000,147000,144400,145000,144617.3906,497990
2018-04-25,145200,150200,144800,148600,148207.8906,618915
2018-04-26,146400,149200,145000,145000,144617.3906,1071125
2018-04-27,145000,145400,142400,143200,142822.1406,1049185
2018-04-30,144200,144200,142400,143200,142822.1406,398655
2018-05-02,145200,147800,144800,147600,147210.5313,509325
2018-05-03,147800,149000,145200,145400,145016.3438,316640
2018-05-04,145000,147000,143400,143400,143021.625,511785
2018-05-08,145400,147600,144200,146200,145814.2344,487275
2018-05-09,146000,148000,144600,145400,145016.3438,475655
2018-05-10,146000,147000,143600,144000,143620.0313,416805
2018-05-11,144200,145800,142800,143400,143021.625,547725
2018-05-14,144000,144400,142800,143400,143021.625,288745
2018-05-15,142800,143600,142200,142200,141824.7813,399725
2018-05-16,142400,143000,139600,140000,139630.5938,620065
2018-05-17,140000,140600,139400,139400,139032.1719,461815
2018-05-18,139400,140000,136800,137600,137236.9219,565205
2018-05-21,137200,138000,135200,136400,136040.0938,505590
2018-05-23,136000,137600,135400,136800,136439.0313,430280
2018-05-24,136400,137000,135600,136000,135641.1406,222435
2018-05-25,137000,138800,136400,137000,136638.5,378775
2018-05-28,137000,137400,135800,136000,135641.1406,270430
2018-05-29,135800,136000,133400,133600,133247.4844,467685
2018-05-30,133400,134000,129600,130400,130055.9219,669825
2018-05-31,132000,134200,130800,133800,133446.9531,1050965
2018-06-01,134800,137200,134400,136000,135641.1406,457305
2018-06-04,136200,137400,134200,134600,134244.8438,409355
2018-06-05,135600,136000,132800,134800,134444.3125,335760
2018-06-07,135000,136400,134800,136000,135641.1406,390905
2018-06-08,136000,141600,136000,140200,139830.0625,941455
2018-06-11,140200,142400,139000,142200,141824.7813,689250
2018-06-12,142400,143800,140800,143400,143021.625,621335
2018-06-14,143800,145000,141000,141400,141026.8906,794555
2018-06-15,141000,141200,137400,138000,137635.875,701510
2018-06-18,138000,139000,137200,138800,138433.75,529295
2018-06-19,138000,138800,137600,137600,137236.9219,551610
2018-06-20,137800,138400,137400,137800,137436.3906,532395
2018-06-21,137000,140600,136800,139800,139431.125,589410
2018-06-22,138000,144800,138000,144600,144218.4531,801570
2018-06-25,145600,150000,145400,149600,149205.2656,1276330
2018-06-26,148400,149200,146000,147000,146612.125,537640
2018-06-27,149400,149600,147800,147800,147410.0156,436380
2018-06-28,147600,150200,145200,149400,149005.7813,682685
2018-06-29,150000,152800,149600,152600,152197.3438,779575
2018-07-02,153000,153000,149000,150200,149803.6719,539590
2018-07-03,151800,152600,148600,149400,149005.7813,431525
2018-07-04,153800,155800,152000,153600,153194.7031,899695
2018-07-05,151200,153800,151200,153000,152596.2813,286595
2018-07-06,151000,151600,149200,149800,149404.7344,409335
2018-07-09,149800,155800,149600,151000,150601.5625,471880
2018-07-10,151400,153600,151200,152000,151598.9219,375645
2018-07-11,152600,154200,151400,153800,153394.1719,434425
2018-07-12,155000,156400,152800,156400,155987.3125,479835
2018-07-13,156000,156400,153000,154200,153793.125,379850
2018-07-16,154200,154600,153400,154200,153793.125,288625
2018-07-17,153800,153800,151000,151800,151399.4531,264885
2018-07-18,152400,154200,151800,152800,152396.8125,158810
2018-07-19,154400,156000,152600,153000,152596.2813,252110
2018-07-20,153000,154400,151000,154000,153593.6563,252245
2018-07-23,154200,155400,153000,154800,154391.5313,407150
2018-07-24,155000,155200,148400,149000,148606.8438,422515
2018-07-25,151800,151800,148400,149200,148806.3125,472905
2018-07-26,150400,152200,143200,150200,149803.6719,1121260
2018-07-27,147000,150200,146600,150200,149803.6719,569095
2018-07-30,149400,149600,145200,146000,145614.7656,543330
2018-07-31,145200,145600,142400,143200,142822.1406,618420
2018-08-01,143600,145600,143000,145600,145215.8125,514795
2018-08-02,145600,147600,144200,145600,145215.8125,404885
2018-08-03,144600,146200,144200,146200,145814.2344,534385
2018-08-06,146600,149600,146200,147000,146612.125,303035
2018-08-07,148400,150800,147200,148800,148407.375,324185
2018-08-08,148400,151200,148400,150000,149604.2031,312410
2018-08-09,150600,155800,149000,155800,155388.9063,665170
2018-08-10,155400,156400,154000,154200,153793.125,345420
2018-08-13,153400,153400,150000,151000,150601.5625,418340
2018-08-14,152000,153400,150800,151400,151000.5156,308015
2018-08-16,150000,152600,149000,150000,149604.2031,570495
2018-08-17,150800,153600,149600,151000,150601.5625,193900
2018-08-20,152800,153200,150600,151000,150601.5625,194680
2018-08-21,150800,152200,149400,149400,149005.7813,241605
2018-08-22,149400,149600,148200,149400,149005.7813,239675
2018-08-23,151000,154600,150400,154400,153992.5938,495420
2018-08-24,154200,155800,151000,151600,151199.9844,271300
2018-08-27,152600,155000,152000,153800,153394.1719,223740
2018-08-28,154400,154400,150600,151200,150801.0313,233335
2018-08-29,151200,152000,149600,149600,149205.2656,274750
2018-08-30,149600,151400,149000,149200,148806.3125,238975
2018-08-31,149400,151200,149200,150400,150003.1563,289765
2018-09-03,150600,151000,149400,150800,150402.0938,156035
2018-09-04,151400,151400,149800,151000,150601.5625,187280
2018-09-05,150600,150600,145400,147200,146811.5938,591425
2018-09-06,147200,148000,145400,146000,145614.7656,352455
